,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
249,2020-03-21,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
250,2020-03-21,Delhi,25,1,5,28.7041,77.1025,1,26
251,2020-03-21,Gujarat,7,0,0,22.2587,71.1924,0,7
252,2020-03-21,Haryana,3,14,0,29.0588,76.0856,0,17
253,2020-03-21,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
254,2020-03-21,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
255,2020-03-21,Karnataka,15,0,1,15.3173,75.7139,1,15
256,2020-03-21,Kerala,33,7,3,10.8505,76.2711,0,40
257,2020-03-21,Ladakh,13,0,0,34.2996,78.2932,0,13
258,2020-03-21,Madhya Pradesh,4,0,0,22.9734,78.6569,0,4
259,2020-03-21,Maharashtra,60,3,0,19.7515,75.7139,1,63
260,2020-03-21,Odisha,2,0,0,20.9517,85.0985,0,2
261,2020-03-21,Puducherry,1,0,0,11.9416,79.8083,0,1
262,2020-03-21,Punjab,13,0,0,31.1471,75.3412,1,13
263,2020-03-21,Rajasthan,15,2,3,27.0238,74.2179,0,17
264,2020-03-21,Tamil Nadu,3,0,1,11.1271,78.6569,0,3
265,2020-03-21,Telengana,10,11,1,18.1124,79.0193,0,21
266,2020-03-21,Uttar Pradesh,23,1,9,26.8467,80.9462,0,24
267,2020-03-21,Uttarakhand,3,0,0,30.0668,79.0193,0,3
268,2020-03-21,West Bengal,3,0,0,22.9868,87.855,0,3
269,2020-03-22,Andhra Pradesh,5,0,0,15.9129,79.74,0,5
270,2020-03-22,Bihar,2,0,0,25.0961,85.3131,1,2
271,2020-03-22,Chandigarh,5,0,0,30.7333,76.7794,0,5
272,2020-03-22,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
273,2020-03-22,Delhi,28,1,5,28.7041,77.1025,1,29
274,2020-03-22,Gujarat,18,0,0,22.2587,71.1924,1,18
275,2020-03-22,Haryana,7,14,0,29.0588,76.0856,0,21
276,2020-03-22,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
277,2020-03-22,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
278,2020-03-22,Karnataka,26,0,2,15.3173,75.7139,1,26
279,2020-03-22,Kerala,45,7,3,10.8505,76.2711,0,52
280,2020-03-22,Ladakh,13,0,0,34.2996,78.2932,0,13
281,2020-03-22,Madhya Pradesh,4,0,0,22.9734,78.6569,0,4
282,2020-03-22,Maharashtra,64,3,0,19.7515,75.7139,2,67
283,2020-03-22,Odisha,2,0,0,20.9517,85.0985,0,2
284,2020-03-22,Puducherry,1,0,0,11.9416,79.8083,0,1
285,2020-03-22,Punjab,21,0,0,31.1471,75.3412,1,21
286,2020-03-22,Rajasthan,22,2,3,27.0238,74.2179,0,24
287,2020-03-22,Tamil Nadu,5,2,1,11.1271,78.6569,0,7
288,2020-03-22,Telengana,11,11,1,18.1124,79.0193,0,22
289,2020-03-22,Uttar Pradesh,26,1,9,26.8467,80.9462,0,27
290,2020-03-22,Uttarakhand,3,0,0,30.0668,79.0193,0,3
291,2020-03-22,West Bengal,4,0,0,22.9868,87.855,0,4
292,2020-03-23,Andhra Pradesh,7,0,0,15.9129,79.74,0,7
293,2020-03-23,Bihar,2,0,0,25.0961,85.3131,1,2
294,2020-03-23,Chandigarh,6,0,0,30.7333,76.7794,0,6
295,2020-03-23,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
296,2020-03-23,Delhi,28,1,5,28.7041,77.1025,1,29
297,2020-03-23,Gujarat,29,0,0,22.2587,71.1924,1,29
298,2020-03-23,Haryana,12,14,11,29.0588,76.0856,0,26
299,2020-03-23,Himachal Pradesh,2,0,0,31.1048,77.1734,0,2
300,2020-03-23,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
301,2020-03-23,Karnataka,33,0,2,15.3173,75.7139,1,33
302,2020-03-23,Kerala,60,7,3,10.8505,76.2711,0,67
303,2020-03-23,Ladakh,13,0,0,34.2996,78.2932,0,13
304,2020-03-23,Madhya Pradesh,6,0,0,22.9734,78.6569,0,6
305,2020-03-23,Maharashtra,71,3,0,19.7515,75.7139,2,74
306,2020-03-23,Odisha,2,0,0,20.9517,85.0985,0,2
307,2020-03-23,Puducherry,1,0,0,11.9416,79.8083,0,1
308,2020-03-23,Punjab,21,0,0,31.1471,75.3412,1,21
309,2020-03-23,Rajasthan,26,2,3,27.0238,74.2179,0,28
310,2020-03-23,Tamil Nadu,7,2,1,11.1271,78.6569,0,9
311,2020-03-23,Telengana,22,10,1,18.1124,79.0193,0,32
312,2020-03-23,Uttar Pradesh,30,1,9,26.8467,80.9462,0,31
313,2020-03-23,Uttarakhand,3,0,0,30.0668,79.0193,0,3
314,2020-03-23,West Bengal,7,0,0,22.9868,87.855,1,7
315,2020-03-24,Andhra Pradesh,8,0,0,15.9129,79.74,0,8
316,2020-03-24,Bihar,3,0,0,25.0961,85.3131,1,3
317,2020-03-24,Chandigarh,7,0,0,30.7333,76.7794,0,7
318,2020-03-24,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
319,2020-03-24,Delhi,29,1,6,28.7041,77.1025,2,30
320,2020-03-24,Gujarat,32,1,0,22.2587,71.1924,1,33
321,2020-03-24,Haryana,14,14,11,29.0588,76.0856,0,28
322,2020-03-24,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
323,2020-03-24,Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
324,2020-03-24,Karnataka,37,0,3,15.3173,75.7139,1,37
325,2020-03-24,Kerala,87,8,4,10.8505,76.2711,0,95
326,2020-03-24,Ladakh,13,0,0,34.2996,78.2932,0,13
327,2020-03-24,Madhya Pradesh,7,0,0,22.9734,78.6569,0,7
328,2020-03-24,Maharashtra,86,3,0,19.7515,75.7139,2,89
329,2020-03-24,Manipur,1,0,0,24.6637,93.9063,0,1
330,2020-03-24,Odisha,2,0,0,20.9517,85.0985,0,2
331,2020-03-24,Puducherry,1,0,0,11.9416,79.8083,0,1
332,2020-03-24,Punjab,29,0,0,31.1471,75.3412,1,29
333,2020-03-24,Rajasthan,30,2,3,27.0238,74.2179,0,32
334,2020-03-24,Tamil Nadu,13,2,1,11.1271,78.6569,0,15
335,2020-03-24,Telengana,25,10,1,18.1124,79.0193,0,35
336,2020-03-24,Uttar Pradesh,32,1,11,26.8467,80.9462,0,33
337,2020-03-24,Uttarakhand,3,1,0,30.0668,79.0193,0,4
338,2020-03-24,West Bengal,9,0,0,22.9868,87.855,1,9
339,2020-03-25,Andhra Pradesh,9,0,1,15.9129,79.74,0,9
340,2020-03-25,Bihar,4,0,0,25.0961,85.3131,1,4
341,2020-03-25,Chandigarh,7,0,0,30.7333,76.7794,0,7
342,2020-03-25,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
343,2020-03-25,Delhi,30,1,6,28.7041,77.1025,1,31
344,2020-03-25,Gujarat,37,1,0,22.2587,71.1924,1,38
345,2020-03-25,Haryana,14,14,11,29.0588,76.0856,0,28
346,2020-03-25,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
347,2020-03-25,Jammu and Kashmir,7,0,1,33.7782,76.5762,0,7
348,2020-03-25,Karnataka,41,0,3,15.3173,75.7139,1,41
349,2020-03-25,Kerala,101,8,4,10.8505,76.2711,0,109
350,2020-03-25,Ladakh,13,0,0,34.2996,78.2932,0,13
351,2020-03-25,Madhya Pradesh,14,0,0,22.9734,78.6569,0,14
352,2020-03-25,Maharashtra,125,3,1,19.7515,75.7139,3,128
353,2020-03-25,Manipur,1,0,0,24.6637,93.9063,0,1
354,2020-03-25,Mizoram,1,0,0,23.1645,92.9376,0,1
355,2020-03-25,Odisha,2,0,0,20.9517,85.0985,0,2
356,2020-03-25,Puducherry,1,0,0,11.9416,79.8083,0,1
357,2020-03-25,Punjab,29,0,0,31.1471,75.3412,1,29
358,2020-03-25,Rajasthan,34,2,3,27.0238,74.2179,0,36
359,2020-03-25,Tamil Nadu,16,2,1,11.1271,78.6569,0,18
360,2020-03-25,Telengana,25,10,1,18.1124,79.0193,0,35
361,2020-03-25,Uttar Pradesh,36,1,11,26.8467,80.9462,0,37
362,2020-03-25,Uttarakhand,3,1,0,30.0668,79.0193,0,4
363,2020-03-25,West Bengal,9,0,0,22.9868,87.855,1,9
364,2020-03-26,Andaman and Nicobar Islands,1,0,0,11.7401,92.6586,0,1
365,2020-03-26,Andhra Pradesh,11,0,1,15.9129,79.74,0,11
366,2020-03-26,Bihar,6,0,0,25.0961,85.3131,1,6
367,2020-03-26,Chandigarh,7,0,0,30.7333,76.7794,0,7
368,2020-03-26,Chhattisgarh,6,0,0,21.2787,81.8661,0,6
369,2020-03-26,Delhi,35,1,6,28.7041,77.1025,1,36
370,2020-03-26,Goa,3,0,0,15.2993,74.124,0,3
371,2020-03-26,Gujarat,42,1,0,22.2587,71.1924,3,43
372,2020-03-26,Haryana,16,14,11,29.0588,76.0856,0,30
373,2020-03-26,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
374,2020-03-26,Jammu and Kashmir,13,0,1,33.7782,76.5762,1,13
375,2020-03-26,Karnataka,55,0,3,15.3173,75.7139,2,55
376,2020-03-26,Kerala,110,8,6,10.8505,76.2711,0,118
377,2020-03-26,Ladakh,13,0,0,34.2996,78.2932,0,13
