district,active,confirmed,deceased,recovered
Gonda,9,10,0,1
Gorakhpur,3,3,0,0
Hapur,39,54,0,15
Hardoi,0,2,0,2
Hathras,5,9,0,4
Jalaun,8,8,0,0
Jaunpur,3,8,0,5
Jhansi,14,15,1,0
Kannauj,3,7,0,4
Kanpur Dehat,1,2,1,0
Kanpur Nagar,235,292,6,51
Kasganj,0,3,0,3
Kaushambi,0,2,0,2
Kushinagar,2,2,0,0
Lakhimpur Kheri,0,4,0,4
Lucknow,75,237,1,161
Maharajganj,1,7,0,6
Mahoba,2,2,0,0
Mainpuri,6,11,1,4
Mathura,29,38,4,5
Mau,0,1,0,1
Meerut,110,184,9,65
Mirzapur,1,3,0,2
Moradabad,35,117,7,75
Muzaffarnagar,5,24,0,19
Pilibhit,1,3,0,2
Pratapgarh,6,12,0,6
Prayagraj,13,15,1,1
Rae Bareli,39,47,0,8
Rampur,11,27,0,16
Saharanpur,93,205,0,112
Sambhal,16,22,0,6
Sant Kabir Nagar,28,30,0,2
Shahjahanpur,0,1,0,1
Shamli,2,29,0,27
Shrawasti,7,8,1,0
Siddharthnagar,20,20,0,0
Sitapur,3,20,0,17
Sultanpur,4,4,0,0
Unnao,2,3,0,1
Varanasi,55,77,1,21
Almora,0,1,0,1
Dehradun,13,34,1,20
Haridwar,2,7,0,5
Nainital,2,10,0,8
Pauri Garhwal,0,1,0,1
Udham Singh Nagar,4,8,0,4
Birbhum,6,6,0,0
Darjeeling,1,7,1,5
Hooghly,36,49,4,9
Howrah,282,324,19,23
Jalpaiguri,0,4,0,4
Kalimpong,0,7,1,6
Kolkata,535,783,99,149
Malda,3,3,0,0
Murshidabad,0,1,1,0
Nadia,0,8,0,8
North 24 Parganas,151,220,21,48
Other State,13,14,1,0
Paschim Bardhaman,3,11,2,6
Paschim Medinipur,14,17,0,3
Purba Bardhaman,2,4,0,2
Purba Medinipur,15,39,1,23
South 24 Parganas,40,51,1,10
